date	tau	Tb	pwv	lwp	iwp	o3
2021-04-08_18.00.00	1.1819e-01	3.3519e+01	2.0010e+00		7.0400e-06	3.5705e+02
2021-04-08_19.00.00	1.1575e-01	3.2923e+01	1.9831e+00		1.6024e-05	3.5151e+02
2021-04-08_20.00.00	1.1500e-01	3.2721e+01	1.9928e+00		2.0941e-05	3.6120e+02
2021-04-08_21.00.00	1.1874e-01	3.3539e+01	2.0848e+00		2.4357e-05	3.6932e+02
2021-04-08_22.00.00	1.1937e-01	3.3637e+01	2.1138e+00		3.9659e-05	3.6743e+02
2021-04-08_23.00.00	1.2330e-01	3.4452e+01	2.2156e+00		3.4928e-04	3.6554e+02
2021-04-09_00.00.00	1.3721e-01	3.7530e+01	2.5182e+00		4.3049e-03	3.6077e+02
2021-04-09_01.00.00	1.7549e-01	4.5965e+01	3.3071e+00		4.7947e-03	3.5248e+02
2021-04-09_02.00.00	2.2287e-01	5.6006e+01	4.2314e+00		8.1882e-03	3.5733e+02
2021-04-09_03.00.00	2.2996e-01	5.7427e+01	4.3585e+00		1.1422e-02	3.5916e+02
2021-04-09_04.00.00	2.1925e-01	5.5139e+01	4.1558e+00		1.1658e-02	3.5410e+02
2021-04-09_05.00.00	2.0192e-01	5.1431e+01	3.8224e+00		1.5103e-02	3.5649e+02
2021-04-09_06.00.00	1.8228e-01	4.7174e+01	3.4423e+00		9.6570e-03	3.5680e+02
2021-04-09_07.00.00	1.4577e-01	3.9285e+01	2.6919e+00		4.9560e-04	3.5755e+02
2021-04-09_08.00.00	1.3141e-01	3.6285e+01	2.3491e+00		1.5585e-04	3.5714e+02
2021-04-09_09.00.00	1.4951e-01	4.0496e+01	2.6597e+00		1.4080e-06	3.5199e+02
2021-04-09_10.00.00	1.6701e-01	4.4329e+01	3.0103e+00		1.4105e-04	3.4885e+02
2021-04-09_11.00.00	1.6720e-01	4.4389e+01	3.0196e+00		1.7602e-05	3.4832e+02
2021-04-09_12.00.00	1.6910e-01	4.4731e+01	3.0834e+00		1.7140e-03	3.4829e+02
2021-04-09_13.00.00	1.8448e-01	4.7930e+01	3.4272e+00		2.8011e-03	3.4718e+02
2021-04-09_14.00.00	2.1086e-01	5.3516e+01	3.9398e+00		1.4364e-02	3.4744e+02
2021-04-09_15.00.00	2.5901e-01	6.3431e+01	4.8405e+00		1.9540e-03	3.4890e+02
2021-04-09_16.00.00	2.9204e-01	6.9951e+01	5.4329e+00		1.6034e-02	3.5279e+02
2021-04-09_17.00.00	3.1636e-01	7.4592e+01	5.8163e+00	4.2130e-05	1.8932e-01	3.5449e+02
2021-04-09_18.00.00	4.1299e-01	9.2050e+01	7.0571e+00	1.1889e-02	2.7938e-01	3.5490e+02
2021-04-09_19.00.00	4.4883e-01	9.7970e+01	8.1058e+00		3.8301e-01	3.5572e+02
2021-04-09_20.00.00	4.5310e-01	9.8551e+01	8.1574e+00		4.4521e-01	3.6050e+02
2021-04-09_21.00.00	4.4889e-01	9.7910e+01	8.0679e+00		4.2023e-01	3.6329e+02
