date	tau	Tb	pwv	lwp	iwp	o3
2021-04-12_18.00.00	6.4912e-02	2.1128e+01	1.4763e+00			2.4793e+02
2021-04-12_21.00.00	5.4918e-02	1.8647e+01	1.2013e+00			2.4578e+02
2021-04-13_00.00.00	5.1700e-02	1.7833e+01	1.1182e+00			2.4634e+02
2021-04-13_03.00.00	4.5375e-02	1.6167e+01	9.6534e-01			2.4695e+02
2021-04-13_06.00.00	4.0309e-02	1.4844e+01	8.2553e-01			2.4654e+02
2021-04-13_09.00.00	4.1165e-02	1.5026e+01	8.5544e-01			2.4794e+02
2021-04-13_12.00.00	3.7953e-02	1.4217e+01	7.6015e-01			2.4919e+02
2021-04-13_15.00.00	4.1962e-02	1.5277e+01	8.6678e-01			2.5164e+02
2021-04-13_18.00.00	4.8937e-02	1.7111e+01	1.0470e+00			2.5228e+02
2021-04-13_21.00.00	5.6983e-02	1.9157e+01	1.2534e+00			2.5044e+02
2021-04-14_00.00.00	5.7282e-02	1.9267e+01	1.2515e+00			2.5124e+02
2021-04-14_03.00.00	4.7827e-02	1.6795e+01	1.0191e+00			2.5085e+02
2021-04-14_06.00.00	5.0786e-02	1.7520e+01	1.0973e+00			2.5202e+02
2021-04-14_09.00.00	5.2372e-02	1.7879e+01	1.1367e+00			2.5199e+02
2021-04-14_12.00.00	4.9910e-02	1.7242e+01	1.0695e+00			2.5180e+02
2021-04-14_15.00.00	5.5220e-02	1.8619e+01	1.2004e+00			2.5338e+02
2021-04-14_18.00.00	5.6130e-02	1.8872e+01	1.2171e+00			2.5330e+02
2021-04-14_21.00.00	5.9351e-02	1.9673e+01	1.2944e+00			2.5034e+02
2021-04-15_00.00.00	6.1794e-02	2.0310e+01	1.3461e+00			2.5145e+02
2021-04-15_03.00.00	5.3142e-02	1.8142e+01	1.1253e+00			2.5115e+02
2021-04-15_06.00.00	5.0254e-02	1.7386e+01	1.0441e+00			2.5081e+02
2021-04-15_09.00.00	5.5915e-02	1.8772e+01	1.1855e+00			2.5219e+02
2021-04-15_12.00.00	5.9066e-02	1.9543e+01	1.2620e+00			2.5242e+02
2021-04-15_15.00.00	5.8358e-02	1.9427e+01	1.2355e+00			2.5370e+02
2021-04-15_18.00.00	5.5736e-02	1.8809e+01	1.1677e+00			2.5372e+02
2021-04-15_21.00.00	7.5556e-02	2.3725e+01	1.6608e+00			2.5267e+02
2021-04-16_00.00.00	6.9047e-02	2.2126e+01	1.4877e+00			2.5215e+02
2021-04-16_03.00.00	5.5949e-02	1.8833e+01	1.1726e+00			2.5421e+02
2021-04-16_06.00.00	4.8448e-02	1.6881e+01	9.9791e-01			2.5347e+02
2021-04-16_09.00.00	4.1018e-02	1.4986e+01	8.0290e-01			2.5347e+02
2021-04-16_12.00.00	3.7651e-02	1.4075e+01	7.2773e-01			2.5244e+02
2021-04-16_15.00.00	3.9588e-02	1.4555e+01	7.8684e-01			2.5459e+02
2021-04-16_18.00.00	4.6694e-02	1.6419e+01	9.7110e-01			2.5303e+02
2021-04-16_21.00.00	4.4545e-02	1.5870e+01	9.1658e-01			2.5146e+02
2021-04-17_00.00.00	5.6307e-02	1.8930e+01	1.1960e+00			2.5321e+02
2021-04-17_03.00.00	4.9011e-02	1.7078e+01	1.0229e+00			2.5284e+02
2021-04-17_06.00.00	5.0960e-02	1.7540e+01	1.0842e+00			2.5522e+02
2021-04-17_09.00.00	4.9366e-02	1.7169e+01	1.0376e+00			2.5369e+02
2021-04-17_12.00.00	5.1352e-02	1.7704e+01	1.0868e+00			2.5452e+02
2021-04-17_15.00.00	5.0038e-02	1.7437e+01	1.0509e+00			2.5362e+02
2021-04-17_18.00.00	6.2771e-02	2.0696e+01	1.3944e+00			2.5226e+02
2021-04-17_21.00.00	7.6443e-02	2.3998e+01	1.7610e+00			2.5045e+02
2021-04-18_00.00.00	6.4381e-02	2.1059e+01	1.4381e+00			2.5245e+02
2021-04-18_03.00.00	6.5834e-02	2.1409e+01	1.4783e+00			2.5128e+02
2021-04-18_06.00.00	7.2158e-02	2.2979e+01	1.6314e+00			2.5054e+02
2021-04-18_09.00.00	8.0740e-02	2.5043e+01	1.8562e+00			2.5060e+02
2021-04-18_12.00.00	8.8360e-02	2.6861e+01	2.0540e+00			2.5425e+02
2021-04-18_15.00.00	9.0360e-02	2.7385e+01	2.0957e+00			2.5447e+02
2021-04-18_18.00.00	1.0553e-01	3.0939e+01	2.5207e+00			2.5475e+02
2021-04-18_21.00.00	1.1163e-01	3.2349e+01	2.6731e+00			2.5668e+02
2021-04-19_00.00.00	1.0229e-01	3.0167e+01	2.4226e+00			2.5743e+02
2021-04-19_03.00.00	9.7045e-02	2.8921e+01	2.2799e+00			2.5512e+02
2021-04-19_06.00.00	9.6679e-02	2.8845e+01	2.2599e+00			2.5398e+02
2021-04-19_09.00.00	7.6335e-02	2.4014e+01	1.7229e+00			2.5443e+02
2021-04-19_12.00.00	7.1860e-02	2.2929e+01	1.5978e+00			2.5673e+02
2021-04-19_15.00.00	8.2027e-02	2.5422e+01	1.8582e+00			2.5383e+02
2021-04-19_18.00.00	1.1209e-01	3.2424e+01	2.6849e+00		7.0680e-05	2.5437e+02
2021-04-19_21.00.00	1.1992e-01	3.4174e+01	2.8810e+00		3.6060e-07	2.5132e+02
2021-04-20_00.00.00	1.0146e-01	2.9867e+01	2.4326e+00		2.0177e-03	2.5030e+02
2021-04-20_03.00.00	9.1519e-02	2.7634e+01	2.1451e+00			2.4925e+02
2021-04-20_06.00.00	7.8637e-02	2.4517e+01	1.8129e+00			2.4904e+02
2021-04-20_09.00.00	7.5185e-02	2.3622e+01	1.7253e+00			2.4821e+02
2021-04-20_12.00.00	7.0051e-02	2.2319e+01	1.6015e+00			2.4992e+02
2021-04-20_15.00.00	7.8642e-02	2.4431e+01	1.8269e+00			2.4846e+02
2021-04-20_18.00.00	1.1615e-01	3.3321e+01	2.7886e+00			2.4799e+02
2021-04-20_21.00.00	1.1488e-01	3.2970e+01	2.7516e+00			2.4799e+02
2021-04-21_00.00.00	1.0386e-01	3.0457e+01	2.4729e+00			2.4649e+02
2021-04-21_03.00.00	8.1572e-02	2.5175e+01	1.8939e+00			2.4744e+02
2021-04-21_06.00.00	6.4926e-02	2.1129e+01	1.4397e+00			2.4719e+02
2021-04-21_09.00.00	5.8928e-02	1.9622e+01	1.2745e+00			2.4904e+02
2021-04-21_12.00.00	4.9639e-02	1.7284e+01	1.0341e+00			2.4943e+02
2021-04-21_15.00.00	5.2615e-02	1.8054e+01	1.1081e+00			2.4960e+02
2021-04-21_18.00.00	5.6156e-02	1.8963e+01	1.2030e+00			2.4736e+02
2021-04-21_21.00.00	5.1680e-02	1.7760e+01	1.1006e+00			2.4743e+02
2021-04-22_00.00.00	6.2210e-02	2.0441e+01	1.3608e+00			2.4717e+02
