date	tau	Tb	pwv	lwp	iwp	o3
2021-04-08_22.00.00	3.7127e-02	1.2900e+01	3.0918e-01		8.4619e-03	2.7211e+02
2021-04-08_23.00.00	3.7195e-02	1.2914e+01	3.0943e-01		9.8527e-03	2.7112e+02
2021-04-09_00.00.00	3.7279e-02	1.2934e+01	3.1118e-01		9.1018e-03	2.6968e+02
2021-04-09_01.00.00	3.7301e-02	1.2938e+01	3.1096e-01		9.4805e-03	2.6862e+02
2021-04-09_02.00.00	3.7292e-02	1.2936e+01	3.1042e-01		9.3935e-03	2.6820e+02
2021-04-09_03.00.00	3.7270e-02	1.2933e+01	3.1021e-01		8.3921e-03	2.6910e+02
2021-04-09_04.00.00	3.7187e-02	1.2912e+01	3.0846e-01		7.8263e-03	2.7027e+02
2021-04-09_05.00.00	3.7239e-02	1.2925e+01	3.0996e-01		6.7550e-03	2.7103e+02
2021-04-09_06.00.00	3.7331e-02	1.2946e+01	3.1135e-01		7.1122e-03	2.7113e+02
2021-04-09_07.00.00	3.7375e-02	1.2956e+01	3.1119e-01		8.8898e-03	2.7165e+02
2021-04-09_08.00.00	3.7293e-02	1.2936e+01	3.0905e-01		9.6906e-03	2.7215e+02
2021-04-09_09.00.00	3.7310e-02	1.2939e+01	3.0926e-01		9.6153e-03	2.7254e+02
2021-04-09_10.00.00	3.7281e-02	1.2931e+01	3.0881e-01		9.9564e-03	2.7088e+02
2021-04-09_11.00.00	3.7282e-02	1.2930e+01	3.0831e-01		1.1423e-02	2.6939e+02
2021-04-09_12.00.00	3.7329e-02	1.2941e+01	3.0960e-01		1.0721e-02	2.6915e+02
2021-04-09_13.00.00	3.7251e-02	1.2921e+01	3.0813e-01		1.1182e-02	2.6831e+02
2021-04-09_14.00.00	3.7412e-02	1.2960e+01	3.1096e-01		1.0829e-02	2.6793e+02
2021-04-09_15.00.00	3.7347e-02	1.2946e+01	3.1005e-01		1.0519e-02	2.6770e+02
2021-04-09_16.00.00	3.7204e-02	1.2909e+01	3.0682e-01		1.0434e-02	2.6813e+02
2021-04-09_17.00.00	3.7271e-02	1.2926e+01	3.0777e-01		1.0626e-02	2.6921e+02
2021-04-09_18.00.00	3.7366e-02	1.2950e+01	3.0980e-01		1.0518e-02	2.6965e+02
2021-04-09_19.00.00	3.7473e-02	1.2977e+01	3.1174e-01		1.0939e-02	2.6972e+02
2021-04-09_20.00.00	3.7481e-02	1.2980e+01	3.1234e-01		9.8052e-03	2.7023e+02
2021-04-09_21.00.00	3.7452e-02	1.2972e+01	3.1099e-01		1.1184e-02	2.7025e+02
2021-04-09_22.00.00	3.7512e-02	1.2986e+01	3.1186e-01		1.2137e-02	2.7026e+02
2021-04-09_23.00.00	3.7709e-02	1.3034e+01	3.1547e-01		1.1960e-02	2.7128e+02
2021-04-10_00.00.00	3.7652e-02	1.3021e+01	3.1469e-01		1.1646e-02	2.7208e+02
2021-04-10_03.00.00	3.7751e-02	1.3046e+01	3.1599e-01		1.3145e-02	2.7142e+02
2021-04-10_06.00.00	3.8058e-02	1.3121e+01	3.2271e-01		1.0794e-02	2.7210e+02
2021-04-10_09.00.00	3.8114e-02	1.3134e+01	3.2408e-01		9.9229e-03	2.7370e+02
2021-04-10_12.00.00	3.8189e-02	1.3152e+01	3.2621e-01		7.8309e-03	2.7611e+02
2021-04-10_15.00.00	3.8357e-02	1.3193e+01	3.3115e-01		4.3313e-03	2.7554e+02
2021-04-10_18.00.00	3.8620e-02	1.3256e+01	3.3688e-01		4.2601e-03	2.7346e+02
2021-04-10_21.00.00	3.8873e-02	1.3318e+01	3.4320e-01		2.6969e-03	2.7220e+02
2021-04-11_00.00.00	3.9058e-02	1.3370e+01	3.4756e-01		1.5708e-03	2.7115e+02
2021-04-11_03.00.00	3.9010e-02	1.3368e+01	3.4722e-01		6.9906e-04	2.7257e+02
2021-04-11_06.00.00	3.8467e-02	1.3253e+01	3.3653e-01		8.4737e-04	2.7057e+02
2021-04-11_09.00.00	3.8123e-02	1.3180e+01	3.2888e-01		1.0946e-03	2.6747e+02
2021-04-11_12.00.00	3.7945e-02	1.3144e+01	3.2607e-01		8.7976e-04	2.6656e+02
2021-04-11_15.00.00	3.7926e-02	1.3142e+01	3.2661e-01		8.4125e-04	2.6796e+02
2021-04-11_18.00.00	3.7707e-02	1.3091e+01	3.2266e-01		8.0803e-04	2.6656e+02
2021-04-11_21.00.00	3.7653e-02	1.3082e+01	3.2192e-01		7.3217e-04	2.6705e+02
2021-04-12_00.00.00	3.7585e-02	1.3067e+01	3.2113e-01		6.8324e-04	2.6720e+02
2021-04-12_03.00.00	3.7636e-02	1.3077e+01	3.2282e-01		7.3191e-04	2.6579e+02
2021-04-12_06.00.00	3.7788e-02	1.3108e+01	3.2693e-01		8.7130e-04	2.6601e+02
2021-04-12_09.00.00	3.7933e-02	1.3139e+01	3.3062e-01		8.6866e-04	2.6454e+02
2021-04-12_12.00.00	3.8048e-02	1.3161e+01	3.3321e-01		2.2135e-03	2.6518e+02
2021-04-12_15.00.00	3.8089e-02	1.3165e+01	3.3475e-01		3.5233e-03	2.6295e+02
2021-04-12_18.00.00	3.8253e-02	1.3198e+01	3.3853e-01		3.3396e-03	2.6237e+02
2021-04-12_21.00.00	3.8379e-02	1.3219e+01	3.3979e-01		6.3374e-03	2.6287e+02
2021-04-13_00.00.00	3.8068e-02	1.3142e+01	3.3404e-01		5.3167e-03	2.6343e+02
2021-04-13_03.00.00	3.7632e-02	1.3033e+01	3.2462e-01		5.8793e-03	2.6305e+02
2021-04-13_06.00.00	3.7322e-02	1.2950e+01	3.1784e-01		6.2708e-03	2.6316e+02
2021-04-13_09.00.00	3.7275e-02	1.2925e+01	3.1528e-01		8.4659e-03	2.6368e+02
2021-04-13_12.00.00	3.6788e-02	1.2803e+01	3.0514e-01		7.6949e-03	2.6626e+02
2021-04-13_15.00.00	3.6367e-02	1.2697e+01	2.9623e-01		6.4598e-03	2.6772e+02
2021-04-13_18.00.00	3.5792e-02	1.2552e+01	2.8450e-01		5.6168e-03	2.6715e+02
2021-04-13_21.00.00	3.5474e-02	1.2472e+01	2.7839e-01		3.7060e-03	2.6676e+02
2021-04-14_00.00.00	3.5144e-02	1.2391e+01	2.7216e-01		1.6028e-03	2.6517e+02
2021-04-14_03.00.00	3.4908e-02	1.2336e+01	2.6827e-01		1.6643e-04	2.6500e+02
2021-04-14_06.00.00	3.4612e-02	1.2268e+01	2.6273e-01		1.3009e-04	2.6698e+02
2021-04-14_09.00.00	3.4094e-02	1.2150e+01	2.5423e-01		2.8992e-05	2.6615e+02
2021-04-14_12.00.00	3.3577e-02	1.2027e+01	2.4569e-01		8.7364e-05	2.6881e+02
2021-04-14_15.00.00	3.3221e-02	1.1942e+01	2.3937e-01		3.7042e-04	2.6994e+02
2021-04-14_18.00.00	3.3188e-02	1.1927e+01	2.3771e-01		7.4870e-04	2.6996e+02
2021-04-14_21.00.00	3.3130e-02	1.1910e+01	2.3577e-01		1.1451e-03	2.6991e+02
2021-04-15_00.00.00	3.3044e-02	1.1888e+01	2.3368e-01		1.0300e-03	2.6930e+02
2021-04-15_03.00.00	3.2811e-02	1.1829e+01	2.2848e-01		1.5527e-03	2.7163e+02
2021-04-15_06.00.00	3.2548e-02	1.1768e+01	2.2338e-01		8.4320e-04	2.7092e+02
2021-04-15_09.00.00	3.1956e-02	1.1631e+01	2.1201e-01		7.5586e-04	2.7022e+02
2021-04-15_12.00.00	3.1705e-02	1.1572e+01	2.0693e-01		8.4760e-04	2.7216e+02
2021-04-15_15.00.00	3.1675e-02	1.1568e+01	2.0637e-01		6.6184e-04	2.7420e+02
2021-04-15_18.00.00	3.1606e-02	1.1552e+01	2.0486e-01		5.9872e-04	2.7244e+02
2021-04-15_21.00.00	3.2056e-02	1.1658e+01	2.1229e-01		1.0101e-03	2.7396e+02
2021-04-16_00.00.00	3.3154e-02	1.1921e+01	2.3089e-01		2.3784e-03	2.7179e+02
2021-04-16_03.00.00	3.4244e-02	1.2176e+01	2.4887e-01		4.0324e-03	2.7097e+02
2021-04-16_06.00.00	3.4931e-02	1.2338e+01	2.5926e-01		5.9906e-03	2.7129e+02
2021-04-16_09.00.00	3.4913e-02	1.2331e+01	2.5564e-01		8.1043e-03	2.7226e+02
2021-04-16_12.00.00	3.4484e-02	1.2224e+01	2.4565e-01		7.1107e-03	2.7446e+02
2021-04-16_15.00.00	3.4057e-02	1.2116e+01	2.3697e-01		6.3007e-03	2.7434e+02
2021-04-16_18.00.00	3.3583e-02	1.1996e+01	2.2729e-01		6.6671e-03	2.7445e+02
2021-04-16_21.00.00	3.3346e-02	1.1936e+01	2.2274e-01		5.3282e-03	2.7380e+02
2021-04-17_00.00.00	3.3108e-02	1.1876e+01	2.1895e-01		3.8323e-03	2.7571e+02
2021-04-17_03.00.00	3.2964e-02	1.1839e+01	2.1596e-01		4.5791e-03	2.7426e+02
2021-04-17_06.00.00	3.2893e-02	1.1827e+01	2.1650e-01		1.0356e-03	2.7456e+02
2021-04-17_09.00.00	3.2644e-02	1.1776e+01	2.1280e-01		8.9939e-04	2.7459e+02
2021-04-17_12.00.00	3.2850e-02	1.1825e+01	2.1685e-01		7.1797e-04	2.7282e+02
2021-04-17_15.00.00	3.2922e-02	1.1851e+01	2.1905e-01		1.0752e-04	2.7226e+02
2021-04-17_18.00.00	3.3219e-02	1.1918e+01	2.2396e-01		2.0765e-03	2.7155e+02
2021-04-17_21.00.00	3.2832e-02	1.1837e+01	2.1953e-01		1.1634e-04	2.7440e+02
2021-04-18_00.00.00	3.2548e-02	1.1771e+01	2.1586e-01		1.4472e-04	2.7398e+02
2021-04-18_03.00.00	3.2521e-02	1.1757e+01	2.1682e-01		9.4645e-05	2.7357e+02
2021-04-18_06.00.00	3.2180e-02	1.1678e+01	2.1276e-01		1.4170e-04	2.7317e+02
2021-04-18_09.00.00	3.1688e-02	1.1566e+01	2.0551e-01		1.1306e-04	2.7297e+02
2021-04-18_12.00.00	3.1228e-02	1.1461e+01	1.9934e-01		4.8389e-05	2.7346e+02
2021-04-18_15.00.00	3.0444e-02	1.1281e+01	1.8669e-01		3.7351e-05	2.7445e+02
2021-04-18_18.00.00	2.9698e-02	1.1108e+01	1.7519e-01		3.7273e-05	2.7498e+02
2021-04-18_21.00.00	2.9089e-02	1.0969e+01	1.6578e-01		4.5906e-06	2.7656e+02
2021-04-19_00.00.00	2.8539e-02	1.0839e+01	1.5700e-01		4.5483e-06	2.7634e+02
2021-04-19_03.00.00	2.8088e-02	1.0741e+01	1.5102e-01		4.4916e-06	2.7613e+02
2021-04-19_06.00.00	2.7861e-02	1.0690e+01	1.4799e-01		4.4722e-06	2.7588e+02
