date	tau	Tb	pwv	lwp	iwp	o3
2021-04-10_18.00.00	1.2979e-01	3.6430e+01	2.7975e+00		2.5286e-03	2.7774e+02
2021-04-10_21.00.00	1.7668e-01	4.7150e+01	3.8540e+00		1.8532e-03	2.7625e+02
2021-04-11_00.00.00	2.3246e-01	5.8627e+01	5.2192e+00		3.9026e-02	2.7574e+02
2021-04-11_03.00.00	2.3465e-01	5.8881e+01	5.2324e+00		1.5093e-01	2.7297e+02
2021-04-11_06.00.00	2.6150e-01	6.4351e+01	5.7151e+00		1.9928e-01	2.7569e+02
2021-04-11_09.00.00	3.1810e-01	7.5838e+01	6.8772e+00		1.9864e-02	2.7784e+02
2021-04-11_12.00.00	2.8955e-01	7.0897e+01	6.1259e+00			2.7752e+02
2021-04-11_15.00.00	2.8773e-01	7.0730e+01	6.0434e+00		1.1544e-04	2.7642e+02
2021-04-11_18.00.00	2.9719e-01	7.2724e+01	6.2036e+00			2.7663e+02
2021-04-11_21.00.00	3.0266e-01	7.3945e+01	6.3132e+00			2.7905e+02
2021-04-12_00.00.00	2.9295e-01	7.2250e+01	6.0769e+00			2.7414e+02
2021-04-12_03.00.00	2.9953e-01	7.3564e+01	6.1903e+00			2.7324e+02
2021-04-12_06.00.00	2.8073e-01	6.9659e+01	5.8418e+00			2.7590e+02
2021-04-12_09.00.00	2.6101e-01	6.5571e+01	5.4481e+00		3.3120e-06	2.7503e+02
2021-04-12_12.00.00	2.4918e-01	6.2881e+01	5.2253e+00		2.6906e-03	2.7530e+02
2021-04-12_15.00.00	2.4789e-01	6.2201e+01	5.3032e+00		3.0464e-03	2.7686e+02
2021-04-12_18.00.00	2.8030e-01	6.8835e+01	5.9008e+00		2.8740e-05	2.7798e+02
