date	tau	Tb	pwv	lwp	iwp	o3
2021-04-11_00.00.00	1.7800e-01	4.7180e+01	3.2076e+00			3.7565e+02
2021-04-11_01.00.00	1.6814e-01	4.5057e+01	3.0108e+00			3.7418e+02
2021-04-11_02.00.00	1.6039e-01	4.3386e+01	2.8571e+00			3.7130e+02
2021-04-11_03.00.00	1.4744e-01	4.0559e+01	2.5898e+00			3.6768e+02
2021-04-11_04.00.00	1.2952e-01	3.6528e+01	2.2272e+00			3.6332e+02
2021-04-11_05.00.00	1.0780e-01	3.1469e+01	1.8041e+00			3.6214e+02
2021-04-11_06.00.00	9.8773e-02	2.9313e+01	1.6305e+00			3.6256e+02
2021-04-11_09.00.00	8.9265e-02	2.6940e+01	1.4575e+00			3.6546e+02
2021-04-11_12.00.00	1.2479e-01	3.5388e+01	2.0816e+00	4.5077e-04	1.0354e-04	3.7412e+02
2021-04-11_15.00.00	1.8338e-01	4.8252e+01	2.9765e+00	7.2403e-03	6.6431e-03	3.8121e+02
2021-04-11_18.00.00	1.4756e-01	4.0353e+01	2.5985e+00		2.1494e-05	3.7901e+02
2021-04-11_21.00.00	1.5449e-01	4.1538e+01	2.8209e+00			3.8120e+02
2021-04-12_00.00.00	2.1952e-01	5.5438e+01	4.0664e+00		1.2318e-06	3.7897e+02
2021-04-12_03.00.00	2.5930e-01	6.3611e+01	4.7794e+00		2.3340e-06	3.8627e+02
2021-04-12_06.00.00	2.5647e-01	6.3403e+01	4.5970e+00		4.7497e-05	3.8358e+02
2021-04-12_09.00.00	2.1712e-01	5.5726e+01	3.7539e+00	5.8770e-05	3.0384e-05	3.7296e+02
2021-04-12_12.00.00	2.3988e-01	6.0624e+01	3.7632e+00	9.9744e-03	5.9883e-03	3.6446e+02
2021-04-12_15.00.00	3.6580e-01	8.5025e+01	4.6814e+00	4.3664e-02	3.4772e-03	3.5923e+02
2021-04-12_18.00.00	4.4553e-01	9.9070e+01	5.0786e+00	6.9638e-02	8.4861e-03	3.5374e+02
2021-04-12_21.00.00	3.1485e-01	7.5217e+01	5.0915e+00	1.4459e-02	7.6511e-03	3.5489e+02
2021-04-13_00.00.00	3.5904e-01	8.3628e+01	4.4543e+00	4.8087e-02	3.0138e-03	3.5854e+02
2021-04-13_03.00.00	3.0047e-01	7.2737e+01	3.1604e+00	5.1028e-02	2.1456e-03	3.6182e+02
2021-04-13_06.00.00	1.5091e-01	4.1300e+01	2.0699e+00	1.1902e-02	3.1909e-03	3.6535e+02
2021-04-13_09.00.00	9.6280e-02	2.8775e+01	1.5390e+00	9.2920e-05	2.9820e-07	3.7011e+02
2021-04-13_12.00.00	1.6755e-01	4.5496e+01	2.3374e+00	1.0404e-02	1.9448e-04	3.7029e+02
2021-04-13_15.00.00	1.7772e-01	4.7949e+01	2.1935e+00	1.7939e-02	8.3710e-05	3.6479e+02
2021-04-13_18.00.00	7.7043e-02	2.4322e+01	1.2026e+00	5.5140e-05	7.8670e-08	3.6346e+02
2021-04-13_21.00.00	5.6847e-02	1.9180e+01	8.2822e-01			3.6392e+02
2021-04-14_00.00.00	5.1613e-02	1.7670e+01	7.6228e-01		2.5440e-04	3.6494e+02
2021-04-14_03.00.00	5.0335e-02	1.7188e+01	7.7321e-01		6.9460e-05	3.6620e+02
2021-04-14_06.00.00	5.3194e-02	1.7789e+01	8.6297e-01		2.5452e-05	3.5794e+02
2021-04-14_09.00.00	2.1567e-01	5.5259e+01	4.2806e+00		1.7172e-05	3.4803e+02
2021-04-14_12.00.00	3.3388e-01	7.8993e+01	6.5680e+00		1.7497e-02	3.4474e+02
2021-04-14_15.00.00	4.4820e-01	9.9742e+01	8.4821e+00	8.4538e-04	2.2783e-02	3.4548e+02
2021-04-14_18.00.00	3.6745e-01	8.5879e+01	7.0007e+00		2.0371e-03	3.5051e+02
2021-04-14_21.00.00	2.8809e-01	7.0636e+01	5.6017e+00		2.3714e-04	3.5743e+02
2021-04-15_00.00.00	3.3717e-01	7.9687e+01	6.5634e+00		1.1048e-01	3.5995e+02
2021-04-15_03.00.00	5.0783e-01	1.0898e+02	7.5971e+00	4.3934e-02	4.5718e-01	3.6217e+02
2021-04-15_06.00.00	1.0472e+00	1.7604e+02	8.1952e+00	2.5736e-01	3.0842e-01	3.6467e+02
2021-04-15_09.00.00	8.4125e-01	1.5427e+02	8.0178e+00	1.7349e-01	1.4775e-01	3.6911e+02
2021-04-15_12.00.00	6.1493e-01	1.2525e+02	6.2302e+00	1.1940e-01	5.2247e-03	3.7458e+02
2021-04-15_15.00.00	3.8234e-01	8.7333e+01	6.4092e+00	1.7521e-02	3.8672e-04	3.7291e+02
2021-04-15_18.00.00	3.9465e-01	8.9457e+01	6.5215e+00	2.0251e-02	7.8993e-03	3.7019e+02
2021-04-15_21.00.00	3.9499e-01	8.9366e+01	6.9254e+00	9.5264e-03	8.0686e-04	3.7285e+02
2021-04-16_00.00.00	4.0054e-01	9.0376e+01	6.9076e+00	1.2127e-02	2.2638e-03	3.7443e+02
2021-04-16_03.00.00	3.1918e-01	7.5493e+01	5.9287e+00	1.4119e-03	4.3690e-05	3.7017e+02
2021-04-16_06.00.00	3.1234e-01	7.4246e+01	5.8448e+00	1.9230e-04	4.6525e-05	3.6783e+02
2021-04-16_09.00.00	3.1725e-01	7.5573e+01	5.6273e+00	4.4021e-03	8.6693e-05	3.6232e+02
2021-04-16_12.00.00	4.6773e-01	1.0270e+02	5.7109e+00	6.5173e-02	3.2191e-03	3.5592e+02
2021-04-16_15.00.00	3.8984e-01	8.9301e+01	6.0687e+00	2.4355e-02	1.9110e-03	3.4417e+02
2021-04-16_18.00.00	3.2938e-01	7.7873e+01	6.0189e+00	3.9915e-03	1.0660e-02	3.4197e+02
2021-04-16_21.00.00	3.0332e-01	7.3000e+01	5.6467e+00	1.0701e-03	1.4248e-02	3.4276e+02
2021-04-17_00.00.00	3.1804e-01	7.5298e+01	6.1926e+00	3.0503e-05	2.9166e-02	3.4096e+02
2021-04-17_03.00.00	3.2560e-01	7.6390e+01	6.3782e+00		9.7334e-02	3.3796e+02
2021-04-17_06.00.00	3.5032e-01	8.0873e+01	6.8048e+00		1.1791e-01	3.3935e+02
2021-04-17_09.00.00	3.5786e-01	8.2278e+01	6.9256e+00	3.5132e-04	2.8963e-02	3.4266e+02
2021-04-17_12.00.00	4.1862e-01	9.3279e+01	7.3827e+00	1.4881e-02	1.2257e-02	3.4255e+02
2021-04-17_15.00.00	4.2300e-01	9.4089e+01	7.7844e+00	7.4940e-03	4.7622e-02	3.4059e+02
2021-04-17_18.00.00	5.5661e-01	1.1602e+02	8.1172e+00	5.4912e-02	1.1355e-01	3.3934e+02
2021-04-17_21.00.00	3.8614e-01	8.7745e+01	7.4625e+00	2.1512e-04	3.1599e-03	3.3937e+02
2021-04-18_00.00.00	3.7866e-01	8.6502e+01	7.2999e+00	1.1100e-05	3.0482e-03	3.3643e+02
2021-04-18_03.00.00	3.6210e-01	8.3761e+01	6.9066e+00		2.3912e-04	3.3758e+02
2021-04-18_06.00.00	3.4172e-01	8.0155e+01	6.4651e+00		8.1580e-06	3.3556e+02
2021-04-18_09.00.00	3.0160e-01	7.2738e+01	5.7523e+00		3.4340e-06	3.3328e+02
2021-04-18_12.00.00	2.9896e-01	7.2510e+01	5.5201e+00	3.7335e-03	6.8076e-05	3.3226e+02
2021-04-18_15.00.00	3.3700e-01	8.0091e+01	5.8204e+00	1.1356e-02	4.3046e-03	3.3031e+02
2021-04-18_18.00.00	2.8166e-01	6.9436e+01	5.3290e+00	3.5296e-04	1.5578e-03	3.2579e+02
2021-04-18_21.00.00	2.3796e-01	6.0496e+01	4.5856e+00		4.7952e-03	3.2450e+02
2021-04-19_00.00.00	1.9686e-01	5.1414e+01	3.9307e+00		1.3260e-02	3.2413e+02
2021-04-19_03.00.00	3.4153e-01	8.0519e+01	6.7259e+00		3.1305e-02	3.2116e+02
2021-04-19_06.00.00	5.4559e-01	1.1527e+02	9.1353e+00	2.9960e-02	1.1613e-01	3.2246e+02
2021-04-19_09.00.00	5.3449e-01	1.1406e+02	8.9887e+00	2.1274e-02	7.9246e-02	3.2639e+02
2021-04-19_12.00.00	3.9572e-01	9.1541e+01	7.2946e+00	9.5150e-04	4.7069e-03	3.3181e+02
2021-04-19_15.00.00	3.5494e-01	8.4112e+01	6.6217e+00	7.3329e-04	3.2510e-04	3.2894e+02
2021-04-19_18.00.00	3.9041e-01	8.9993e+01	7.4636e+00	1.7332e-05	4.3513e-02	3.3337e+02
2021-04-19_21.00.00	4.3778e-01	9.7748e+01	8.4778e+00		6.6585e-03	3.4025e+02
2021-04-20_00.00.00	5.1731e-01	1.1061e+02	9.5744e+00	2.4777e-03	1.7407e-01	3.3493e+02
2021-04-20_03.00.00	3.7270e-01	8.6546e+01	6.7289e+00	5.3432e-03	5.1751e-04	3.2512e+02
